,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,9,PF,1577742727,73,-9.8,-139.03,80.55,14.5
1,Krasnyy Chikoy,10,RU,1577742728,93,50.36,108.75,-20.24,1.88
2,Tura,0,RU,1577742729,91,64.27,100.22,-27.51,4.83
3,Kudahuvadhoo,100,MV,1577742732,77,2.67,72.89,82.22,12.37
4,Tessalit,0,ML,1577742733,13,20.2,1.01,63.52,9.64
5,Ushuaia,40,AR,1577742685,73,-54.81,-68.31,53.6,27.51
6,Vung Tau,0,VN,1577742736,82,10.35,107.08,74.59,6.73
7,Talnakh,90,RU,1577742737,84,69.49,88.39,3.2,31.32
8,Busselton,0,AU,1577742738,58,-33.64,115.35,53.01,7.25
9,Barrow,100,AR,1577742471,88,-38.31,-60.23,71.35,11.48
10,Jamestown,16,AU,1577742740,74,-33.21,138.6,55.09,14.03
11,Hamilton,75,CA,1577742611,69,43.26,-79.87,45.0,23.04
12,Sampit,100,ID,1577742743,94,-2.54,112.95,75.58,1.1
13,Ribeira Grande,40,PT,1577742744,72,38.52,-28.7,62.6,23.04
14,Albany,90,US,1577742664,86,42.65,-73.75,35.6,9.17
15,Punta Arenas,75,CL,1577742747,47,-53.16,-70.91,55.4,25.28
16,Bethel,1,US,1577742744,76,60.79,-161.76,-9.4,5.82
17,Le Vauclin,10,MQ,1577742750,74,14.55,-60.84,82.4,9.17
18,Rabo de Peixe,75,PT,1577742751,82,37.8,-25.58,60.8,14.99
19,Kaitangata,0,NZ,1577742752,73,-46.28,169.85,60.01,8.01
20,Rikitea,100,PF,1577742467,82,-23.12,-134.97,77.36,12.44
21,Dikson,100,RU,1577742754,91,73.51,80.55,12.42,30.67
22,Urcos,75,PE,1577742757,62,-13.69,-71.62,57.2,23.04
23,Klaksvik,0,FO,1577742758,80,62.23,-6.59,41.0,6.93
24,Tuktoyaktuk,90,CA,1577742760,69,69.44,-133.03,-13.0,10.29
25,Ostrovnoy,100,RU,1577742550,81,68.05,39.51,26.89,17.58
26,Grindavik,75,IS,1577742763,80,63.84,-22.43,39.2,16.11
27,Kapaa,90,US,1577742474,65,22.08,-159.32,82.4,12.75
28,Lorengau,0,PG,1577742765,74,-2.02,147.27,82.72,6.71
29,Victoria,75,BN,1577742766,83,5.28,115.24,82.4,5.82
30,East London,33,ZA,1577742520,74,-33.02,27.91,71.56,14.65
31,Deputatskiy,96,RU,1577742768,66,69.3,139.9,-21.78,1.1
